num_meta,num_user,genres,rating,url,game_title,metacritic_score,user_score,release_date
7,10,"Action, General",M,http://www.metacritic.com/game/xbox-one/attack-on-titan-2,Attack on Titan 2 (XONE),73,7.4,"Mar 20, 2018"
29,19,"Action, General",T,http://www.metacritic.com/game/switch/the-escapists-2,The Escapists 2 (Switch),73,6.6,"Jan 11, 2018"
7,4,"Action, Platformer, 2D, 3D",M,http://www.metacritic.com/game/xbox-one/rad-rodgers,Rad Rodgers (XONE),73,6.8,"Feb 21, 2018"
14,6,"Action Adventure, Linear",E10+,http://www.metacritic.com/game/switch/world-to-the-west,World to the West (Switch),73,7.3,"Jan 18, 2018"
20,31,"Action Adventure, General",T,http://www.metacritic.com/game/switch/mulaka,Mulaka (Switch),73,7.1,"Mar 1, 2018"
11,17,"Action, General",E,http://www.metacritic.com/game/pc/fe,Fe (PC),73,5.8,"Feb 16, 2018"
9,10,"Adventure, 3D, First-Person",NA,http://www.metacritic.com/game/pc/the-station,The Station (PC),73,6.6,"Feb 20, 2018"
7,11,"Action, Platformer, 2D",E10+,http://www.metacritic.com/game/playstation-4/the-adventure-pals,The Adventure Pals (PS4),73,6.5,"Apr 3, 2018"
9,5,"Simulation, General",M,http://www.metacritic.com/game/switch/a-normal-lost-phone,A Normal Lost Phone (Switch),73,5.6,"Mar 1, 2018"
14,13,"Action, Platformer, 2D",M,http://www.metacritic.com/game/pc/rad-rodgers,Rad Rodgers (PC),73,6.7,"Feb 21, 2018"
15,10,"Action Adventure, Open-World",M,http://www.metacritic.com/game/xbox-one/assassins-creed-rogue-remastered,Assassin's Creed Rogue Remastered (XONE),73,6.1,"Mar 20, 2018"
NA,NA,NA,NA,http://www.metacritic.com/game/playstation-4/immortal-redneck,Immortal Redneck (PS4),73,NA,"Feb 27, 2018"
9,16,"Strategy, Real-Time, General",NA,http://www.metacritic.com/game/pc/stellaris-apocalypse,Stellaris: Apocalypse (PC),73,6.9,"Feb 22, 2018"
39,63,"Role-Playing, Japanese-Style",T,http://www.metacritic.com/game/playstation-4/digimon-story-cyber-sleuth-hackers-memory,Digimon Story Cyber Sleuth: Hacker's Memory (PS4),73,7.4,"Jan 19, 2018"
10,4,"Action Adventure, General",T,http://www.metacritic.com/game/xbox-one/mulaka,Mulaka (XONE),72,5.8,"Mar 2, 2018"
9,7,"Action Adventure, General",T,http://www.metacritic.com/game/switch/the-fall-part-2-unbound,The Fall Part 2: Unbound (Switch),72,7.7,"Feb 13, 2018"
NA,NA,NA,NA,http://www.metacritic.com/game/pc/all-walls-must-fall,All Walls Must Fall (PC),72,NA,"Feb 23, 2018"
19,13,"Action, Shooter, Light Gun",E10+,http://www.metacritic.com/game/playstation-4/apex-construct,Apex Construct (PS4),72,6.8,"Feb 20, 2018"
8,20,"Action, Shooter, Third-Person, Arcade",T,http://www.metacritic.com/game/xbox-one/sword-art-online-fatal-bullet,Sword Art Online: Fatal Bullet (XONE),72,7.8,"Feb 23, 2018"
49,46,"Adventure, 3D, Third-Person",E,http://www.metacritic.com/game/3ds/detective-pikachu,Detective Pikachu (3DS),72,7.7,"Mar 23, 2018"
7,6,"Adventure, General",E,http://www.metacritic.com/game/switch/old-mans-journey,Old Man's Journey (Switch),72,6.3,"Feb 20, 2018"
NA,NA,NA,NA,http://www.metacritic.com/game/playstation-4/masters-of-anima,Masters of Anima (PS4),72,NA,"Apr 10, 2018"
NA,NA,NA,NA,http://www.metacritic.com/game/playstation-4/riftstar-raiders,RiftStar Raiders (PS4),72,NA,"Feb 27, 2018"
24,9,"Action, Platformer, 2D",E,http://www.metacritic.com/game/switch/shu,Shu (Switch),72,6.1,"Jan 23, 2018"
8,16,"Miscellaneous, Compilation",M,http://www.metacritic.com/game/xbox-one/devil-may-cry-hd-collection,Devil May Cry HD Collection (XONE),72,6.5,"Mar 13, 2018"
7,6,"Action, Platformer, 2D",E,http://www.metacritic.com/game/switch/xeodrifter,Xeodrifter (Switch),71,6.8,"Feb 15, 2018"
13,16,"Action, Shooter, First-Person, Arcade",M,http://www.metacritic.com/game/playstation-4/call-of-duty-wwii---the-resistance,Call of Duty: WWII - The Resistance (PS4),71,2.6,"Jan 30, 2018"
